Utterance,Cluster,lemmatized_queries
να δηλώσω το κινητό μου ως απόρρητο,4,δηλώνω κινητό ως απόρρητος
αλλαγή ραντεβού σύνδεσης νέας γραμμής,4,αλλαγή ραντέβος σύνδεση νέος γραμμή
επιθυμώ να καταχωρήσω αίτημα,4,επιθυμώ καταχωρώ αίτημα
θέλω να μάθω για την αποπληρωμή λογαριασμού,2,θέλω μαμαίνω αποπληρωμή λογαριασμός
κάτι έκανα στο hotspot και τώρα δε δουλεύει,0,κάτι hotspot τώρα δε δουλεύω
να κάνω δήλωση του κινητού μου ως απόρρητο,4,κάνω δήλωση κινητός ως απόρρητο
θα ήθελα να δω την πλήρη ανάλυση του τηλεφώνου μου,6,πλήρης ανάλυση τηλέφωνο
ενδιαφέρομαι να αγοράσω χρόνο ομιλίας,4,ενδιαφέρω αγοράζω χρόνος ομιλία
το πάσο μου έχει λήξει μπορώ να βάλω φοιτητικό,6,πάσος λήνω μπορώ βάγω φοιτητικός
hotspot,0,hotspot
θα μπορούσατε παρακαλώ να με συνδέσετε με το τμήμα πωλήσεων,6,παρακαλώ συνδεσετώ τμήμα πώληση
ενδιαφέρομαι να μου ενεργοποιήσετε,4,ενδιαφέρω ενεργοποιώ
επιθυμώ να υποβάλω αίτημα,4,επιθυμώ υποβάλλω αίτημα
υπάρχει η δυνατότητα να έχω αναλυτικό λογαριασμό,2,υπάρχω δυνατότητα έχω αναλυτικός λογαριασμός
βοήθεια,1,βοήθεια
θέλω να γίνει αποπληρωμή λογαριασμού του σταθερού μου,2,θέλω γίνομαι αποπληρωμή λογαριασμός σταθερός
ανανέωση,1,ανανέωση
πόσα σας χρωστάω τέλος πάντων,6,χρωστώ τέλος πας
πώς μπορώ να κάνω αίτηση,6,πώς μπορώ κάνω αίτηση
θέλω να βλέπω αναλυτική λίστα των κλήσεων,2,θέλω βλέπω αναλυτικός λίστα κλήση
θέλω να δω την πλήρη ανάλυση του τηλεφώνου μου,2,θέλω πλήρης ανάλυση τηλέφωνο
θέλω να αγοράσω χρόνο ομιλίας προς σταθερά,2,θέλω αγοράζω χρόνος ομιλία προς σταθερός
θέλω να κάνω το κινητό μου hotspot,0,θέλω κάνω κινητό hotspot
να απενεργοποιήσετε,1,απενεργοποιώ
θέλω απενεργοποίηση,4,θέλω απενεργοποίηση
θέλω βοήθεια με τον λογαριασμό μου,4,θέλω βοήθεια λογαριασμός
έχω κάνει διακανονισμό και ακόμη μου δείχνει ότι χρωστάω,4,έχω διακανονισμός δείχνω χρωστώ
τον λογαριασμό μου,1,λογαριασμός
μπορεί να με καλέσουν από το τμήμα πωλήσεων για την ανανέωση,2,καλώ από τμήμα πώληση ανανέωση
ποια θα είναι τα πλεονεκτήματα που θα έχω αν βάλω φοιτητικό πακέτο,6,πλεονέκτημα που έχω αν βάγω φοιτητικός πακέτο
να κάνω αποπληρωμή της οφειλής του κινητού μου,4,κάνω αποπληρωμή οφειλής κινητός
φοιτητικό πακέτο,6,φοιτητικός πακέτο
παράπονο,6,παράπονο
θέλω να αγοράσω λεπτά ομιλίας προς όλους,6,θέλω αγοράζω λεπτό ομιλία προς
πού είναι αυτή η ανάλυση για τον λογαριασμό μου,6,πού ανάλυση λογαριασμός
θέλω να γίνει εξόφληση της οφειλής του σταθερού μου,2,θέλω γίνομαι εξόφληση οφειλής σταθερός
θα μου πείτε αν έχω επιδότηση,1,αν έχω επιδότηση
θέλω να δω πότε πρέπει να πληρώνω τις δόσεις του διακανονισμού μου,2,θέλω πότε πρέπει πληρώνω δόση διακανονισμός
έχουμε ένα ραντεβού για σήμερα,1,ραντέβος σήμερα
επιθυμώ να βάλω χρόνο ομιλίας στην κάρτα,4,επιθυμώ βάγω χρόνος ομιλία σε ο κάρτα
να κάνω ανανέωση θέλω,4,κάνω ανανέωση θέλω
θέλω να κάνω διακανονισμό του λογαριασμού που έχει λήξει,2,θέλω κάνω διακανονισμός λογαριασμός που λήνω
να μου κάνετε απενεργοποίηση,4,απενεργοποίηση
πώς μπορώ να κάνω διακανονισμό της γραμμής μου,6,πώς μπορώ κάνω διακανονισμός γραμμή
αγορά προγράμματος με μηνύματα,6,αγορά πρόγραμμα μήνυμα
θέλω να με πληροφορήσετε πώς μπορεί να γίνει αίτηση,2,θέλω πληροφορώ πώς γίνομαι αίτηση
μόλις έβγαλα πάσο τι πρέπει να κάνω για να έχω φοιτητικό πακέτο,2,μόλις βλέπω πάσο τι πρέπει κάνω έχω φοιτητικός πακέτο
μία πληροφορία θέλω,6,πληροφορία θέλω
θέλω να εξοφλήσω τον λογαριασμό μου,4,θέλω εξοφλώ λογαριασμός
πώς να ενεργοποιήσω το hotspot στο κινητό μου,0,πώς ενεργοποιώ hotspot κινητό
θα ήθελα να κάνω διακανονισμό στο τηλέφωνό μου,4,κάνω διακανονισμός τήλεφος ό
πώς μπορώ να εντοπίσω τις οφειλές μου,6,πώς μπορώ εντοπίζω οφειλή
ενδιαφέρομαι για απενεργοποίηση,4,ενδιαφέρω απενεργοποίηση
θέλω να εξοφλήσω το σταθερό μου,4,θέλω εξοφλώ σταθερός
βρήκα αναπάντητη στο κινητό μου από εσάς,4,βρίσκω αναπάντητος κινητό από
πόσο χρωστάω συνολικά,6,πόσο χρωστώ συνολικά
πόση επιδότηση έχω,1,επιδότηση έχω
πόσα χρωστάω τελικά,1,χρωστώ τελικά
θέλω να κάνω το κινητό μου tethering,5,θέλω κάνω κινητό tethering
θέλω να κάνω εξόφληση λογαριασμού για το τηλέφωνο μου,2,θέλω κάνω εξόφληση λογαριασμός τηλέφωνο
θέλω να γίνει εξόφληση παραστατικού του κινητού μου,2,θέλω γίνομαι εξόφληση παράστατικός κινητός
θέλω να κάνω εξόφληση της οφειλής της τηλεόρασης,2,θέλω κάνω εξόφληση οφειλής τηλεόραση
ποιο είναι το ποσό των οφειλών μου,6,ποσό οφειλή
για λογαριασμό που έχω σε εσάς,6,λογαριασμός που έχω
διακανονισμός οικονομικής εκκρεμότητας,4,διακανονισμός οικονομικός εκκρεμότητα
ποιο είναι το ποσό των χρεών μου,6,ποσό χρέος
ποιες είναι οι οφειλές μου,1,οφειλή
γιατί δε δουλεύει το hotspot,0,γιατί δε δουλεύω hotspot
πού υπάρχουν αναλυτικά οι κλήσεις μου,6,πού υπάρχω αναλυτικά κλήση
θέλω να δω την ανάλυση των κλήσεων,4,θέλω ανάλυση κλήση
να αποπληρώσω την οφειλή μου,4,αποπληρώνω οφειλή
να εξοφλήσω την οφειλή μου,1,εξοφλώ οφειλή
λογαριασμός τηλεφώνου,1,λογαριασμός τηλέφωνο
πώς ανοίγει το tethering,5,πώς ανοίγω tethering
πώς κάνω tethering,5,πώς κάνω tethering
να εκφράσω τα παράπονά μου,6,εκφράζω παράπονά
θέλω να κάνω αίτηση,4,θέλω κάνω αίτηση
εξετάζω τη δυνατότητα να αγοράσω ένα νέο tablet,3,εξετάζω δυνατότητα αγοράζω νέος tablet
να ρωτήσω κάτι,1,ρωτώ κάτι
με ενδιαφέρει η υπηρεσία αναλυτικού λογαριασμού,2,ενδιαφέρω υπηρεσία αναλυτικός λογαριασμός
λογαριασμός,1,λογαριασμός
να κάνω εξόφληση της οφειλής του σταθερού μου,4,κάνω εξόφληση οφειλής σταθερός
πώς μπορώ να βάλω φοιτητικό,6,πώς μπορώ βάγω φοιτητικός
πού είναι η ανάλυση στον λογαριασμό μου,6,πού ανάλυση σε ο λογαριασμός
θέλω να αγοράσω έξτρα λεπτά ομιλίας,4,θέλω αγοράζω έξτρα λεπτό ομιλία
να αγοράσω πρόγραμμα με mb,6,αγοράζω πρόγραμμα mb
μπορείτε να με συνδέσετε παρακαλώ με τις πωλήσεις,6,συνδεσετώ παρακαλώ πώληση
πόση οφειλή έχω,1,οφειλή έχω
ήθελα να μάθω το υπόλοιπο,4,μαμαίνω υπόλοιπος
θα ήθελα να αλλάξω ένα ραντεβού,1,αλλάζω ραντέβος
επιθυμώ να ενεργοποιήσω κάποιο πρόγραμμα mb,6,επιθυμώ ενεργοποιώ πρόγραμμα mb
αίτημα για ραντεβού,1,αίτημα ραντέβος
επιθυμώ ανανέωση,4,επιθυμώ ανανέωση
επιθυμώ να ενεργοποιήσω,4,επιθυμώ ενεργοποιώ
θέλω να αποκτήσω επιπλέον χρόνο για να μιλάω με τους δικούς μου,2,θέλω αποκτώ επιπλέον χρόνος μιλάω δικός
θα ήθελα να ρωτήσω για ένα διακανονισμό που είχαμε κάνει,6,ρωτώ διακανονισμός που
θέλω να καταχωρήσω αίτημα,4,θέλω καταχωρώ αίτημα
αλλαγή ραντεβού,1,αλλαγή ραντέβος
ενεργοποίηση προγράμματος με δεδομένα,2,ενεργοποίηση πρόγραμμα δεδομένο
να γίνει απόρρητο το σταθερό μου,4,γίνομαι απόρρητος σταθερός
σχετικά με τον λογαριασμό μου,1,σχετικά λογαριασμός
με ποιον τρόπο μπορώ να ενημερωθώ για τον τρόπο που μπορεί να γίνει αίτηση,2,τρόπος μπορώ ενημερώνω τρόπος που γίνομαι αίτηση
ανανέωση λεπτών ομιλίας γιατί μου τελείωσαν,4,ανανέωση λεπί ομιλία γιατί τελώ
θέλω να μου βάλετε λεπτά για να μιλάω,4,θέλω βάνω λεπτό μιλάω
θέλω να βάλω χρόνο ομιλίας,4,θέλω βάγω χρόνος ομιλία
θέλω να γίνει εξόφληση λογαριασμού για το κινητό μου,2,θέλω γίνομαι εξόφληση λογαριασμός κινητό
να ενεργοποιήσω,1,ενεργοποιώ
χρόνος ομιλίας,1,χρόνος ομιλία
πώς μπορώ να ανοίξω τον αναλυτικό μου λογαριασμό,2,πώς μπορώ ανοίγω αναλυτικός λογαριασμός
πρέπει να συνδεθώ με το τμήμα πωλήσεων,6,πρέπει συνδένω τμήμα πώληση
δε μου εμφανίζονται τα φοιτητικά πακέτα,4,δε εμφανίζω φοιτητικός πακέτα
επιθυμώ να αγοράσω λεπτά ομιλίας,4,επιθυμώ αγοράζω λεπτό ομιλία
ποιες είναι οι διαθέσιμες υπηρεσίες,1,διαθέσιμος υπηρεσία
επιθυμώ την υπηρεσία της βιντεοκλήσης,4,επιθυμώ υπηρεσία βιντεοκλήση
πώς μπορώ να δω την ανάλυση ολόκληρης της κίνησης που έκανα,6,πώς μπορώ ανάλυση ολόκληρος κίνηση που
θέλω να κάνω διακανονισμό του λογαριασμού που είναι ληξιπρόθεσμος,2,θέλω κάνω διακανονισμός λογαριασμός που ληξιπρόθεσμος
έχω κανονίσει ραντεβού για νέα σύνδεση,4,έχω κανονίζω ραντέβος νέος σύνδεση
δε μου εμφανίζεται αυτή η επιλογή διακανονισμού,4,δε εμφανίζω επιλογή διακανονισμός
πρέπει να μιλήσω με το τμήμα πωλήσεων,6,πρέπει μιλώ τμήμα πώληση
θέλω να κάνω αποπληρωμή της οφειλής,2,θέλω κάνω αποπληρωμή οφειλής
θέλω να παραπονεθώ,6,θέλω παραπονεθώ
θέλω να μάθω την οφειλή μου,4,θέλω μαμαίνω οφειλή
θα ήθελα να προσθέσω χρόνο ομιλίας στο κινητό,2,προσθέτω χρόνος ομιλία κινητό
χρειάζομαι πλήρη ανάλυση κλήσεων,4,χρειάζομαι πλήρης ανάλυση κλήση
θα ήθελα ενημέρωση για την απόκρυψη κλήσεων,4,ενημέρωση απόκρυψη κλήση
να πληροφορηθώ το υπόλοιπό μου,6,πληροφορώ υπόλοιπος
πώς κάνω hotspot τη συσκευή μου,0,πώς κάνω hotspot συσκευή
στην ανάλυση κλήσεων υπάρχουν όλοι οι αριθμοί που τηλεφώνησα,2,σε ο ανάλυση κλήση υπάρχω αριθμός που τηλεφωνώ
θέλω να αγοράσω έξτρα χρόνο ομιλίας,4,θέλω αγοράζω έξτρα χρόνος ομιλία
ανάλυση εξερχομένων,4,ανάλυση εξερχόμενος
θέλω να δω αναλυτικά τις κινήσεις του σταθερού μου,2,θέλω αναλυτικά κίνηση σταθερός
κάτι δεν πάει καλά με το tethering,5,κάτι δεν πηγαίνω καλά tethering
να κάνω πληρωμή της οφειλής,6,κάνω πληρωμή οφειλής
πού μπορώ να δω τις υπηρεσίες,6,πού μπορώ υπηρεσία
τo παραστατικό του συμβολαίου μου,6,παράστατικός συμβόλαιο
από πού κλείνει το hotspot,0,από πού κλείνω hotspot
σταθερό τηλέφωνο απόρρητο,4,σταθερός τηλέφωνο απόρρητο
θέλω να μάθω τη χρέωση,4,θέλω μαμαίνω χρέωση
θα ήθελα να δω την πλήρη ανάλυση των κλήσεων,6,πλήρης ανάλυση κλήση
λεπτά ομιλίας,1,λεπτό ομιλία
επιθυμώ να μάθω τι χρωστάω,4,επιθυμώ μαμαίνω τι χρωστώ
θέλω να δω μερική ανάλυση των κλήσεων,4,θέλω μερικός ανάλυση κλήση
επιθυμώ να αγοράσω κάποιο πρόγραμμα mb,6,επιθυμώ αγοράζω πρόγραμμα mb
θα ήθελα να με πληροφορήσετε πώς μπορεί να γίνει αίτηση,2,πληροφορώ πώς γίνομαι αίτηση
θέλω να κάνω εξόφληση της οφειλής,4,θέλω κάνω εξόφληση οφειλής
από πού ενημερώνομαι για τα υπόλοιπα,6,από πού ενημερώνομαι υπόλοιπος
θέλω υπηρεσίες για τον αριθμό μου,4,θέλω υπηρεσία αριθμός
πού βλέπω την επιδότησή μου,6,πού βλέπω επιδότηση
θέλω να μου βάλετε χρόνο ομιλίας,4,θέλω βάνω χρόνος ομιλία
θέλω να αγοράσω χρόνο ομιλίας για το κινητό μου,2,θέλω αγοράζω χρόνος ομιλία κινητό
θέλω υπηρεσίες για το κινητό μου,4,θέλω υπηρεσία κινητό
θα ήθελα να κάνω διακανονισμό στον λογαριασμό μου,4,κάνω διακανονισμός σε ο λογαριασμός
πώς να κάνω το κινητό μου hotspot,0,πώς κάνω κινητό hotspot
έχει μείνει ένα υπόλοιπο το οποίο θα ήθελα να διακανονίσω,4,μένω υπόλοιπος διακανονίζω
δεν ξέρω από πού ανοίγει το hotspot,0,δεν ξέρω από πού ανοίγω hotspot
πώς μπορώ να κάνω διακανονισμό οικονομικής εκκρεμότητας,2,πώς μπορώ κάνω διακανονισμός οικονομικός εκκρεμότητα
επιθυμώ να αγοράσω χρόνο ομιλίας,4,επιθυμώ αγοράζω χρόνος ομιλία
χρειάζομαι βοήθεια για το tethering,5,χρειάζομαι βοήθεια tethering
να αλλάξω ραντεβού για νέα σύνδεση,4,αλλάζω ραντέβος νέος σύνδεση
επικοινωνία με το τμήμα πωλήσεων,4,επικοινωνία τμήμα πώληση
ραντεβού για εγκατάσταση,1,ραντεβός εγκατάσταση
ενδιαφέρομαι να απενεργοποιήσω,4,ενδιαφέρω απενεργοποιώ
θέλω να κάνω αποπληρωμή της οφειλής του τηλεφώνου μου,2,θέλω κάνω αποπληρωμή οφειλής τηλέφωνο
θέλω να συμπληρώσω φόρμα παραπόνων,2,θέλω συμπληρώνω φόρμα παράπονο
να αγοράσω tablet,3,αγοράζω tablet
μπορώ να προχωρήσω σε διακανονισμό του κινητού μου,2,μπορώ προχωρώ διακανονισμός κινητός
τιμοκατάλογος για tablet,3,τιμοκατάλογος tablet
το tethering δε δουλεύει σωστά,5,tethering δε δουλεύω σωστά
θέλω να αγοράσω λεπτά ομιλίας,4,θέλω αγοράζω λεπτό ομιλία
ανάλυση κλήσεων με κρυμμένα νούμερα,4,ανάλυση κλήση κρυμμένος νούω
παρακαλώ βοηθήστε με,6,παρακαλώ βοηθώ
ενδιαφέρομαι να ενεργοποιήσω,4,ενδιαφέρω ενεργοποιώ
πόσα χρήματα οφείλω συνολικά,4,χρήμα οφείλω συνολικά
να ενημερωθώ για ένα ραντεβού,4,ενημερώνω ραντέβος
δε μου επιτρέπει να μπω να εξοφλήσω τον λογαριασμό μου,4,δε επιτρέπω εξοφλώ λογαριασμός
τι όνομα έχει το δικό μου tethering και δεν το βρίσκω,5,τι όνομα tethering δεν βρίζω
θέλω να ενεργοποιήσω πρόγραμμα μηνυμάτων,2,θέλω ενεργοποιώ πρόγραμμα μήνυμα
τo παραστατικό της τηλεόρασής μου,6,παράστατικός τηλεόραση
θα ήθελα να δω μερική ανάλυση των κλήσεων,4,μερικός ανάλυση κλήση
να γίνει απενεργοποίηση,4,γίνομαι απενεργοποίηση
μπορείτε σας παρακαλώ να δείτε για πότε είναι το ραντεβού μου για αλλαγή διεύθυνσης,2,παρακαλώ βλέπω πότε ραντέβος αλλαγή διεύθυνση
ενημέρωση για επιδότηση,4,ενημέρωση επιδότηση
θα ήθελα διευκρινήσεις σχετικά με τον διακανονισμό,4,διευκρίνηση σχετικά διακανονισμός
πώς μπορώ να υποβάλω αίτημα,6,πώς μπορώ υποβάλλω αίτημα
υπάρχει τρόπος να βλέπω αναλυτικά τις κλήσεις που γίνονται από τα κινητά μου,2,υπάρχω τρόπος βλέπω αναλυτικά κλήση που γίνομαι από κινητός
πουλάτε tablet,3,πουλώ tablet
απενεργοποίηση,4,απενεργοποίηση
θα ήθελα να συνδεθώ με το τμήμα λογαριασμών,4,συνδένω τμήμα λογαριασμός
θέλω να κάνω διακανονισμό στην τηλεόραση γιατί δεν μπορώ να πληρώσω τον λογαριασμό,2,θέλω κάνω διακανονισμός σε ο τηλεόραση γιατί δεν μπορώ πληρώνω λογαριασμός
πληροφορίες για τον αναλυτικό λογαριασμό,2,πληροφορία αναλυτικός λογαριασμός
μία ερώτηση να κάνω,1,ερώτηση κάνω
κινητό τηλέφωνο απόρρητο,4,κινητό τηλέφωνο απόρρητο
επιθυμώ να δω τη μερική ανάλυση των κλήσεων,4,επιθυμώ μερικός ανάλυση κλήση
επιθυμώ νέο tablet,3,επιθυμώ νέος tablet
επιθυμώ να ενημερωθώ για το ποσό που χρωστάω,6,επιθυμώ ενημερώνω ποσό που χρωστώ
θέλω να βάλω λεπτά ομιλίας,4,θέλω βάγω λεπτό ομιλία
θέλω να μου βάλετε λεπτά ομιλίας,4,θέλω βάνω λεπτό ομιλία
θέλω να δω αναλυτικά την κίνησή μου,4,θέλω αναλυτικά κίνηση
πώς μπορώ να ενεργοποιήσω πρόγραμμα με mb,6,πώς μπορώ ενεργοποιώ πρόγραμμα mb
αγορά προγράμματος χρόνου ομιλίας,4,αγορά πρόγραμμα χρόνος ομιλία
θέλω να καταθέσω αίτηση,4,θέλω καθίθετω αίτηση
πείτε μου σχετικά με τις βιντεοκλήσεις,4,σχετικά βιντέοκληση
υπηρεσία απόκρυψης κλήσεων,4,υπηρεσία απόκρυψη κλήση
θέλω να κάνω εξόφληση παραστατικού,2,θέλω κάνω εξόφληση παράστατικός
να κάνω εξόφληση λογαριασμού για το κινητό μου,4,κάνω εξόφληση λογαριασμός κινητό
θέλω να προγραμματίσω εκ νέου ένα ραντεβού,2,θέλω προγραμματίζω εκ νέος ραντέβος
λογαριασμός κινητής τηλεφωνίας,4,λογαριασμός κινητής τηλεφωνία
πείτε μου για τον αναλυτικό λογαριασμό,4,αναλυτικός λογαριασμός
θα ήθελα να μάθω την αναλυτική κίνηση του τηλεφώνου μου,2,μαμαίνω αναλυτικός κίνηση τηλέφωνο
θέλω να αποπληρώσω το κινητό μου,2,θέλω αποπληρώνω κινητό
να επικοινωνήσω με το τμήμα πωλήσεων,4,επικοινωνώ τμήμα πώληση
θέλω μια πλήρη ανάλυση για κλήσεις,2,θέλω πλήρης ανάλυση κλήση
υπάρχει κάποιος πωλητής να συνομιλήσω,4,υπάρχω κάποιος πωλητής συνομιλώ
θα ήθελα να λάβω πληροφορίες σχετικά με την ανάλυση κλήσεων στο κινητό μου,2,λαμβάνω πληροφορία σχετικά ανάλυση κλήση κινητό
θέλω να κάνω πληρωμή της οφειλής,2,θέλω κάνω πληρωμή οφειλής
θέλω να διατυπώσω ένα παράπονο,6,θέλω διατυπώνω παράπονο
θέλω να κάνω εξόφληση της οφειλής του τηλεφώνου μου,2,θέλω κάνω εξόφληση οφειλής τηλέφωνο
πώς να κάνω το κινητό μου να λειτουργεί ως hotspot,0,πώς κάνω κινητό λειτουργώ ως hotspot
καταχωρήστε μου ένα αίτημα,1,καταχωρώ αίτημα
θέλω βιντεοκλήση στο κινητό,2,θέλω βιντεοκλήση κινητό
έχω κλείσει τον λογαριασμό του σταθερού τηλεφώνου αλλά έχω απλήρωτο το τελευταίο δίμηνο,2,έχω κλείνω λογαριασμός σταθερός τηλέφωνο αλλά έχω απλήρωτος τελευταίος δίμηνο
τι χρωστάω για το κινητό μου,4,τι χρωστώ κινητό
πώς μπορώ να βλέπω αναλυτικό λογαριασμό,2,πώς μπορώ βλέπω αναλυτικός λογαριασμός
θα ήθελα να κάνω διακανονισμό σε όλο το ποσό,6,κάνω διακανονισμός ποσό
έχω ανάγκη από ενημέρωση,4,έχω ανάγκη από ενημέρωση
χρειάζομαι πληροφορίες,4,χρειάζομαι πληροφορία
υπηρεσίες,1,υπηρεσία
να δηλώσω απόρρητο το σταθερό μου,4,δηλώνω απόρρητος σταθερός
είχα μία κλήση στο κινητό μου από εσάς και σας κάλεσα,4,κλήση κινητό από κάλω
δε βρίσκω τι χρωστάω,1,δε βρίζω τι χρωστώ
τι πρέπει να γνωρίζω για την απόκρυψη κλήσεων,2,τι πρέπει γνωρίζω απόκρυψη κλήση
θέλω να μου ενεργοποιήσετε,4,θέλω ενεργοποιώ
να ενημερωθώ για τα υπόλοιπά μου,4,ενημερώνω υπόλοιπά
ποιο είναι το ποσό που οφείλω,6,ποσό που οφείλω
να ενεργοποιηθεί,1,ενεργοποιώ
το hotspot δε δουλεύει σωστά,0,hotspot δε δουλεύω σωστά
να εξοφλήσω τον λογαριασμό μου,1,εξοφλώ λογαριασμός
θα ήθελα να διακανονίσω την οφειλή μου,1,διακανονίζω οφειλή
επιθυμώ ενεργοποίηση,4,επιθυμώ ενεργοποίηση
ενεργοποίηση tethering,5,ενεργοποίηση tethering
να αποπληρώσω το σταθερό μου,4,αποπληρώνω σταθερός
θέλω να αγοράσω λεπτά ομιλίας προς κινητά,2,θέλω αγοράζω λεπτό ομιλία προς κινητός
μπορώ να προχωρήσω σε διακανονισμό του τηλεφώνου μου,2,μπορώ προχωρώ διακανονισμός τηλέφωνο
