Lemmatized_Word,Original_Words
σύνδεση,"['σύνδεσης', 'σύνδεσή', 'σύνδεσής']"
γραμμή,['γραμμής']
δουλεύω,['δουλεύει']
κινητός,"['κινητά', 'κινητού']"
ενδιαφέρω,"['ενδιαφέρομαι', 'ενδιαφέρει']"
λήνω,['λήξει']
συνδεσετώ,['συνδέσετε']
υποβάλλω,['υποβάλω']
υπάρχω,"['υπάρχει', 'υπάρχουν']"
πας,['πάντων']
δείχνω,"['δείχνει', 'δείξετε']"
πλεονέκτημα,['πλεονεκτήματα']
λεπτό,['λεπτά']
δόση,['δόσεις']
σε,['σ']
ο,"['την', 'τον']"
πρόγραμμα,['προγράμματος']
βλέπω,"['έβγαλα', 'δείτε']"
εντοπίζω,['εντοπίσω']
οφειλή,"['οφειλές', 'οφειλών']"
αναπάντητος,['αναπάντητη']
οικονομικός,['οικονομικής']
εκκρεμότητα,['εκκρεμότητας']
ανοίγω,"['ανοίγει', 'ανοίξω']"
εκφράζω,['εκφράσω']
ρωτώ,['ρωτήσω']
αποκτώ,['αποκτήσω']
δικός,['δικούς']
τρόπος,['τρόπο']
λεπί,['λεπτών']
τελώ,['τελείωσαν']
βάνω,['βάλετε']
συνδένω,['συνδεθώ']
εμφανίζω,"['εμφανίζεται', 'εμφανίζονται']"
βιντεοκλήση,['βιντεοκλήσης']
ολόκληρος,['ολόκληρης']
κίνηση,"['κινήσεις', 'κίνησή', 'κίνησης']"
κανονίζω,['κανονίσει']
προσθέτω,['προσθέσω']
αριθμός,"['αριθμό', 'αριθμούς', 'αριθμοί']"
τηλεφωνώ,['τηλεφώνησα']
εξερχόμενος,"['εξερχόμενων', 'εξερχομένων']"
πηγαίνω,['πάει']
συμβόλαιο,['συμβολαίου']
κλείνω,"['κλείσει', 'κλείνει']"
μερικός,['μερική']
επιδότηση,['επιδότησή']
μένω,['μείνει']
διακανονίζω,['διακανονίσω']
ραντεβός,['ραντεβού']
συμπληρώνω,['συμπληρώσω']
παράπονο,"['παραπόνων', 'παράπονό', 'παραπόνου']"
προχωρώ,['προχωρήσω']
κρυμμένος,['κρυμμένα']
νούω,['νούμερα']
βοηθώ,['βοηθήστε']
επιτρέπω,['επιτρέπει']
βρίζω,['βρίσκω']
διεύθυνση,['διεύθυνσης']
διευκρίνηση,['διευκρινήσεις']
πουλώ,['πουλάτε']
πληρώνω,['πληρώσω']
απόκρυψη,['απόκρυψης']
προγραμματίζω,"['προγραμματίσω', 'προγραμματιστεί']"
τηλεφωνία,['τηλεφωνίας']
συνομιλώ,['συνομιλήσω']
λαμβάνω,"['λήγει', 'λάβω']"
διατυπώνω,['διατυπώσω']
λειτουργώ,['λειτουργεί']
απλήρωτος,['απλήρωτο']
τελευταίος,['τελευταίο']
κάλω,['κάλεσα']
παλιός,['παλιάς']
συνδέω,"['συνδέστε', 'συνδέετε']"
ανακάλλω,['ανακαλύψω']
δίνω,['δώσετε']
ακυρώνω,['ακυρώσω']
λεπτομερής,['λεπτομερή']
ενεργοποίηση,['ενεργοποίησης']
χρειάζομαι,['χρειαστεί']
υποβολή,['υποβολής']
αίτηση,['αίτησης']
ιδιωτικός,['ιδιωτικό']
παίρνω,['παίρνουν']
δωρύς,['δωρεάν']
αφορώ,['αφορά']
οδηγία,['οδηγίες']
εισερχόμενος,['εισερχόμενων']
λεπτομέρεια,['λεπτομέρειες']
παρών,['παρούσα']
υπολοίπος,['υπολοίπου']
επιθυμώ,['επιθυμούσα']
απομένω,['απομένουν']
ανανεώνω,['ανανεώσω']
άλλος,['άλλες']
ληξύπροθεσμος,['ληξιπρόθεσμου']
τρέχων,['τρέχοντος']
τελικός,['τελικό']
καινούργιος,"['καινούργιο', 'καινούργια']"
καρτοσυμβόλαι,['καρτοσυμβολαίου']
φίλος,['φίλους']
μερικοί,['μερικές']
ερώτηση,['ερωτήσεις']
παροχή,['παροχές']
τροποποιώ,['τροποποιήσω']
ανανέωση,['ανανέωσης']
εισερχομένος,['εισερχομένων']
βγίσκω,['βγήκε']
άμεσος,['άμεση']
συνάδελφος,['συνάδελφό']
έρχομαι,['έρθει']
