Utterance,Cluster,processed_queries
κάτι έκανα στο hotspot και τώρα δε δουλεύει,,κάτι έκανο σε ο hotspot τώρα δουλεύω
να κάνω δήλωση του κινητού μου ως απόρρητο,,δήλωση κινητού ως απόρρητος
θα ήθελα να δω την πλήρη ανάλυση του τηλεφώνου μου,,πλήρης ανάλυση τηλεφώνου
ενδιαφέρομαι να αγοράσω χρόνο ομιλίας,,ενδιαφέρομαι αγοράζω χρόνος ομιλία
το πάσο μου έχει λήξει μπορώ να βάλω φοιτητικό,,πάσος λήσσω μπορώ βάλω φοιτητικός
hotspot,,hotspot
θα μπορούσατε παρακαλώ να με συνδέσετε με το τμήμα πωλήσεων,,μπορούζω παρακαλώ συνδέσετε τμήμα πωλήσεων
ενδιαφέρομαι να μου ενεργοποιήσετε,,ενδιαφέρομαι ενεργοποιήσω
επιθυμώ να υποβάλω αίτημα,,επιθυμώ υποβάλω αίτημα
υπάρχει η δυνατότητα να έχω αναλυτικό λογαριασμό,,υπάρχω δυνατότητα αναλυτικός λογαριασμός
βοήθεια,,βοήθεια
θέλω να γίνει αποπληρωμή λογαριασμού του σταθερού μου,,γίνομαι αποπληρωμή λογαριασμός σταθερού
ανανέωση,,ανανέωση
πόσα σας χρωστάω τέλος πάντων,,χρωστάω τέλος πάντων
πώς μπορώ να κάνω αίτηση,,πώς μπορώ αίτηση
θέλω να βλέπω αναλυτική λίστα των κλήσεων,,βλέπω αναλυτικός λίστα κλήσεων
θέλω να δω την πλήρη ανάλυση του τηλεφώνου μου,,πλήρης ανάλυση τηλεφώνου
θέλω να αγοράσω χρόνο ομιλίας προς σταθερά,,αγοράζω χρόνος ομιλία προς σταθερός
θέλω να κάνω το κινητό μου hotspot,,κινητό hotspot
να απενεργοποιήσετε,,απενεργοποιήσω
θέλω απενεργοποίηση,,απενεργοποίηση
θέλω βοήθεια με τον λογαριασμό μου,,βοήθεια λογαριασμός
έχω κάνει διακανονισμό και ακόμη μου δείχνει ότι χρωστάω,,διακανονισμός ακόμα δείχνω χρωστάω
τον λογαριασμό μου,,λογαριασμός
μπορεί να με καλέσουν από το τμήμα πωλήσεων για την ανανέωση,,μπορώ καλέσουν από τμήμα πωλήσεων ανανέωση
ποια θα είναι τα πλεονεκτήματα που θα έχω αν βάλω φοιτητικό πακέτο,,ποιος πλεονέκτημα βάλω φοιτητικός πακέτο
να κάνω αποπληρωμή της οφειλής του κινητού μου,,αποπληρωμή οφειλή κινητός
φοιτητικό πακέτο,,φοιτητικός πακέτο
παράπονο,,παράπονο
θέλω να αγοράσω λεπτά ομιλίας προς όλους,,αγοράζω λεπτό ομιλία προς όλος
πού είναι αυτή η ανάλυση για τον λογαριασμό μου,,πού αυτός ανάλυση λογαριασμός
θέλω να γίνει εξόφληση της οφειλής του σταθερού μου,,γίνομαι εξόφληση οφειλή σταθερού
θα μου πείτε αν έχω επιδότηση,,επιδότηση
θέλω να δω πότε πρέπει να πληρώνω τις δόσεις του διακανονισμού μου,,πότε πρέπει πληρώνω δόση διακανονισμός
έχουμε ένα ραντεβού για σήμερα,,ένας ραντεβού σήμερα
επιθυμώ να βάλω χρόνο ομιλίας στην κάρτα,,επιθυμώ βάλω χρόνος ομιλία σε ο κάρτα
να κάνω ανανέωση θέλω,,ανανέωση
θέλω να κάνω διακανονισμό του λογαριασμού που έχει λήξει,,διακανονισμό λογαριασμός λήσσω
να μου κάνετε απενεργοποίηση,,απενεργοποίηση
πώς μπορώ να κάνω διακανονισμό της γραμμής μου,,πώς μπορώ διακανονισμός γραμμή
αγορά προγράμματος με μηνύματα,,αγορά πρόγραμμα μηνύματα
θέλω να με πληροφορήσετε πώς μπορεί να γίνει αίτηση,,πληροφορώ πώς μπορώ γίνομαι αίτηση
μόλις έβγαλα πάσο τι πρέπει να κάνω για να έχω φοιτητικό πακέτο,,μόλις έβγαλα πάσο πρέπει φοιτητικός πακέτο
μία πληροφορία θέλω,,ένας πληροφορία
θέλω να εξοφλήσω τον λογαριασμό μου,,εξοφλώ λογαριασμός
πώς να ενεργοποιήσω το hotspot στο κινητό μου,,πώς ενεργοποιήσω hotspot σε ο κινητό
θα ήθελα να κάνω διακανονισμό στο τηλέφωνό μου,,διακανονισμός σε ο τηλέφωνό
πώς μπορώ να εντοπίσω τις οφειλές μου,,πώς μπορώ εντοπίζω οφειλή
ενδιαφέρομαι για απενεργοποίηση,,ενδιαφέρομαι απενεργοποίηση
θέλω να εξοφλήσω το σταθερό μου,,εξοφλώ σταθερός
βρήκα αναπάντητη στο κινητό μου από εσάς,,βρήκα αναπάντητος σε ο κινητό από
πόσο χρωστάω συνολικά,,πόσο χρωστάω συνολικά
πόση επιδότηση έχω,,επιδότηση
πόσα χρωστάω τελικά,,πόσος χρωστάω τελικά
θέλω να κάνω το κινητό μου tethering,,κινητό tethering
θέλω να κάνω εξόφληση λογαριασμού για το τηλέφωνο μου,,εξόφληση λογαριασμός τηλέφωνος
θέλω να γίνει εξόφληση παραστατικού του κινητού μου,,γίνομαι εξόφληση παραστατικός κινητού
θέλω να κάνω εξόφληση της οφειλής της τηλεόρασης,,εξόφληση οφειλή τηλεόραση
ποιο είναι το ποσό των οφειλών μου,,ποιος ποσό οφειλών
για λογαριασμό που έχω σε εσάς,,λογαριασμός
διακανονισμός οικονομικής εκκρεμότητας,,διακανονισμός οικονομικός εκκρεμότητα
ποιο είναι το ποσό των χρεών μου,,ποιος ποσό χρεών
ποιες είναι οι οφειλές μου,,ποιος οφειλός
γιατί δε δουλεύει το hotspot,,γιατί δουλεύω hotspot
πού υπάρχουν αναλυτικά οι κλήσεις μου,,πού υπάρχω αναλυτικά κλήσεις
θέλω να δω την ανάλυση των κλήσεων,,ανάλυση κλήσεων
να αποπληρώσω την οφειλή μου,,αποπληρώσως οφειλή
να εξοφλήσω την οφειλή μου,,εξοφλώ οφειλή
λογαριασμός τηλεφώνου,,λογαριασμός τηλεφώνου
πώς ανοίγει το tethering,,πώς ανοίγει tethering
πώς κάνω tethering,,πώς tethering
να εκφράσω τα παράπονά μου,,εκφράζω παράπονά
θέλω να κάνω αίτηση,,αίτηση
εξετάζω τη δυνατότητα να αγοράσω ένα νέο tablet,,εξετάζω δυνατότητα αγοράζω ένας νέος tablet
να ρωτήσω κάτι,,ρωτώ κάτι
με ενδιαφέρει η υπηρεσία αναλυτικού λογαριασμού,,ενδιαφέρω υπηρεσία αναλυτικός λογαριασμός
λογαριασμός,,λογαριασμός
να κάνω εξόφληση της οφειλής του σταθερού μου,,εξόφληση οφειλή σταθερού
πώς μπορώ να βάλω φοιτητικό,,πώς μπορώ βάλω φοιτητικός
πού είναι η ανάλυση στον λογαριασμό μου,,πού ανάλυση σε ο λογαριασμός
θέλω να αγοράσω έξτρα λεπτά ομιλίας,,αγοράζω έξτρο λεπτό ομιλία
να αγοράσω πρόγραμμα με mb,,αγοράζω πρόγραμμα mb
μπορείτε να με συνδέσετε παρακαλώ με τις πωλήσεις,,μπορώ συνδέσω παρακαλώ πωλήσεις
πόση οφειλή έχω,,οφειλή
ήθελα να μάθω το υπόλοιπο,,μάθω υπόλοιπος
θα ήθελα να αλλάξω ένα ραντεβού,,αλλάξω ένας ραντεβού
επιθυμώ να ενεργοποιήσω κάποιο πρόγραμμα mb,,επιθυμώ ενεργοποιήσω κάποιος πρόγραμμα mb
αίτημα για ραντεβού,,αίτημα ραντεβού
επιθυμώ ανανέωση,,επιθυμώ ανανέωση
επιθυμώ να ενεργοποιήσω,,επιθυμώ ενεργοποιήσω
θέλω να αποκτήσω επιπλέον χρόνο για να μιλάω με τους δικούς μου,,αποκτώ επιπλέον χρόνος μιλάως
θα ήθελα να ρωτήσω για ένα διακανονισμό που είχαμε κάνει,,ρωτώ ένας διακανονισμός
θέλω να καταχωρήσω αίτημα,,καταχωρώ αίτημα
αλλαγή ραντεβού,,αλλαγή ραντεβού
ενεργοποίηση προγράμματος με δεδομένα,,ενεργοποίηση πρόγραμμα δεδομένας
να γίνει απόρρητο το σταθερό μου,,γίνομαι απόρρητος σταθερός
σχετικά με τον λογαριασμό μου,,σχετικά λογαριασμός
με ποιον τρόπο μπορώ να ενημερωθώ για τον τρόπο που μπορεί να γίνει αίτηση,,τρόπος μπορώ ενημερωθώ τρόπος μπορώ γίνομαι αίτηση
ανανέωση λεπτών ομιλίας γιατί μου τελείωσαν,,ανανέωση λεπτών ομιλία γιατί τελείωσαν
θέλω να μου βάλετε λεπτά για να μιλάω,,βάλετε λεπτό μιλάως
θέλω να βάλω χρόνο ομιλίας,,βάλω χρόνος ομιλία
θέλω να γίνει εξόφληση λογαριασμού για το κινητό μου,,γίνομαι εξόφληση λογαριασμός κινητό
να ενεργοποιήσω,,ενεργοποιήσω
χρόνος ομιλίας,,χρόνος ομιλία
πώς μπορώ να ανοίξω τον αναλυτικό μου λογαριασμό,,πώς μπορώ ανοίξω αναλυτικός λογαριασμός
πρέπει να συνδεθώ με το τμήμα πωλήσεων,,πρέπει συνδεθώ τμήμα πωλήσεων
δε μου εμφανίζονται τα φοιτητικά πακέτα,,εμφανίζω φοιτητικός πακέτα
επιθυμώ να αγοράσω λεπτά ομιλίας,,επιθυμώ αγοράζω λεπτό ομιλία
ποιες είναι οι διαθέσιμες υπηρεσίες,,ποιος διαθέσιμος υπηρεσία
επιθυμώ την υπηρεσία της βιντεοκλήσης,,επιθυμώ υπηρεσία βιντεοκλήση
πώς μπορώ να δω την ανάλυση ολόκληρης της κίνησης που έκανα,,πώς μπορώ ανάλυση ολόκληρος κίνηση έκανο
θέλω να κάνω διακανονισμό του λογαριασμού που είναι ληξιπρόθεσμος,,διακανονισμό λογαριασμός ληξιπρόθεσμος
έχω κανονίσει ραντεβού για νέα σύνδεση,,κανονίσει ραντεβού νέος σύνδεση
δε μου εμφανίζεται αυτή η επιλογή διακανονισμού,,εμφανίζεται αυτός επιλογή διακανονισμός
πρέπει να μιλήσω με το τμήμα πωλήσεων,,πρέπει μιλώ τμήμα πωλήσεων
θέλω να κάνω αποπληρωμή της οφειλής,,αποπληρωμή οφειλή
θέλω να παραπονεθώ,,παραπονεθώ
θέλω να μάθω την οφειλή μου,,μάθω οφειλή
θα ήθελα να προσθέσω χρόνο ομιλίας στο κινητό,,προσθέσω χρόνος ομιλία σε ο κινητό
χρειάζομαι πλήρη ανάλυση κλήσεων,,χρειάζομαι πλήρης ανάλυση κλήσεων
θα ήθελα ενημέρωση για την απόκρυψη κλήσεων,,ενημέρωση απόκρυψη κλήσεων
να πληροφορηθώ το υπόλοιπό μου,,πληροφορηθώ υπόλοιπος
πώς κάνω hotspot τη συσκευή μου,,πώς hotspot συσκευή
στην ανάλυση κλήσεων υπάρχουν όλοι οι αριθμοί που τηλεφώνησα,,σε ο ανάλυση κλήσεων υπάρχω όλος αριθμός τηλεφώνησα
θέλω να αγοράσω έξτρα χρόνο ομιλίας,,αγοράζω έξτρο χρόνος ομιλία
ανάλυση εξερχομένων,,ανάλυση εξερχομένων
θέλω να δω αναλυτικά τις κινήσεις του σταθερού μου,,αναλυτικά κίνηση σταθερού
κάτι δεν πάει καλά με το tethering,,κάτι πάει καλά tethering
να κάνω πληρωμή της οφειλής,,πληρωμή οφειλή
πού μπορώ να δω τις υπηρεσίες,,πού μπορώ υπηρεσία
τo παραστατικό του συμβολαίου μου,,παραστατικός συμβολαίου
από πού κλείνει το hotspot,,από πού κλείνω hotspot
σταθερό τηλέφωνο απόρρητο,,σταθερός τηλέφωνος απόρρητο
θέλω να μάθω τη χρέωση,,μάθω χρέωση
θα ήθελα να δω την πλήρη ανάλυση των κλήσεων,,πλήρης ανάλυση κλήσεων
λεπτά ομιλίας,,λεπτό ομιλία
επιθυμώ να μάθω τι χρωστάω,,επιθυμώ μάθω χρωστάω
θέλω να δω μερική ανάλυση των κλήσεων,,μερικός ανάλυση κλήσεων
επιθυμώ να αγοράσω κάποιο πρόγραμμα mb,,επιθυμώ αγοράζω κάποιος πρόγραμμα mb
θα ήθελα να με πληροφορήσετε πώς μπορεί να γίνει αίτηση,,πληροφορώ πώς μπορώ γίνομαι αίτηση
θέλω να κάνω εξόφληση της οφειλής,,εξόφληση οφειλή
από πού ενημερώνομαι για τα υπόλοιπα,,από πού ενημερώνομαι υπόλοιπος
θέλω υπηρεσίες για τον αριθμό μου,,υπηρεσία αριθμός
πού βλέπω την επιδότησή μου,,πού βλέπω επιδότηση
θέλω να μου βάλετε χρόνο ομιλίας,,βάλετε χρόνος ομιλία
θέλω να αγοράσω χρόνο ομιλίας για το κινητό μου,,αγοράζω χρόνος ομιλία κινητό
θέλω υπηρεσίες για το κινητό μου,,υπηρεσία κινητό
θα ήθελα να κάνω διακανονισμό στον λογαριασμό μου,,διακανονισμός σε ο λογαριασμός
πώς να κάνω το κινητό μου hotspot,,πώς κινητό hotspot
έχει μείνει ένα υπόλοιπο το οποίο θα ήθελα να διακανονίσω,,μένω ένας υπόλοιπος οποίος διακανονίζω
δεν ξέρω από πού ανοίγει το hotspot,,ξέρω από πού ανοίγει hotspot
πώς μπορώ να κάνω διακανονισμό οικονομικής εκκρεμότητας,,πώς μπορώ διακανονισμός οικονομικός εκκρεμότητα
επιθυμώ να αγοράσω χρόνο ομιλίας,,επιθυμώ αγοράζω χρόνος ομιλία
χρειάζομαι βοήθεια για το tethering,,χρειάζομαι βοήθεια tethering
να αλλάξω ραντεβού για νέα σύνδεση,,αλλάξω ραντεβού νέος σύνδεση
επικοινωνία με το τμήμα πωλήσεων,,επικοινωνία τμήμα πωλήσεων
ραντεβού για εγκατάσταση,,ραντεβού εγκατάσταση
ενδιαφέρομαι να απενεργοποιήσω,,ενδιαφέρομαι απενεργοποιώ
θέλω να κάνω αποπληρωμή της οφειλής του τηλεφώνου μου,,αποπληρωμή οφειλή τηλεφώνου
θέλω να συμπληρώσω φόρμα παραπόνων,,συμπληρώνω φόρμα παραπόνων
να αγοράσω tablet,,αγοράζω tablet
μπορώ να προχωρήσω σε διακανονισμό του κινητού μου,,μπορώ προχωρώ διακανονισμός κινητού
τιμοκατάλογος για tablet,,τιμοκατάλογος tablet
το tethering δε δουλεύει σωστά,,tethering δουλεύω σωστά
θέλω να αγοράσω λεπτά ομιλίας,,αγοράζω λεπτό ομιλία
ανάλυση κλήσεων με κρυμμένα νούμερα,,ανάλυση κλήσεων κρυμμένος νούμερα
παρακαλώ βοηθήστε με,,παρακαλώ βοηθήστε
ενδιαφέρομαι να ενεργοποιήσω,,ενδιαφέρομαι ενεργοποιήσω
πόσα χρήματα οφείλω συνολικά,,πόσος χρήμα οφείλω συνολικά
να ενημερωθώ για ένα ραντεβού,,ενημερωθώ ένας ραντεβού
δε μου επιτρέπει να μπω να εξοφλήσω τον λογαριασμό μου,,επιτρέπω εξοφλώ λογαριασμός
τι όνομα έχει το δικό μου tethering και δεν το βρίσκω,,όνομα tethering βρίσκω
θέλω να ενεργοποιήσω πρόγραμμα μηνυμάτων,,ενεργοποιήσω πρόγραμμα μηνυμάτων
τo παραστατικό της τηλεόρασής μου,,παραστατικός τηλεόραση
θα ήθελα να δω μερική ανάλυση των κλήσεων,,μερικός ανάλυση κλήσεων
να γίνει απενεργοποίηση,,γίνομαι απενεργοποίηση
μπορείτε σας παρακαλώ να δείτε για πότε είναι το ραντεβού μου για αλλαγή διεύθυνσης,,μπορώ παρακαλώ δείτε πότε ραντεβού αλλαγή διεύθυνση
ενημέρωση για επιδότηση,,ενημέρωση επιδότηση
θα ήθελα διευκρινήσεις σχετικά με τον διακανονισμό,,διευκρινήσεις σχετικά διακανονισμός
πώς μπορώ να υποβάλω αίτημα,,πώς μπορώ υποβάλω αίτημα
υπάρχει τρόπος να βλέπω αναλυτικά τις κλήσεις που γίνονται από τα κινητά μου,,υπάρχω τρόπος βλέπω αναλυτικά κλήσεις γίνομαι από κινητό
πουλάτε tablet,,πουλάτε tablet
απενεργοποίηση,,απενεργοποίηση
θα ήθελα να συνδεθώ με το τμήμα λογαριασμών,,συνδεθώ τμήμα λογαριασμός
θέλω να κάνω διακανονισμό στην τηλεόραση γιατί δεν μπορώ να πληρώσω τον λογαριασμό,,διακανονισμός σε ο τηλεόραση γιατί μπορώ πληρώσω λογαριασμός
πληροφορίες για τον αναλυτικό λογαριασμό,,πληροφορία αναλυτικός λογαριασμός
μία ερώτηση να κάνω,,ένας ερώτηση
κινητό τηλέφωνο απόρρητο,,κινητό τηλέφωνος απόρρητο
επιθυμώ να δω τη μερική ανάλυση των κλήσεων,,επιθυμώ μερικός ανάλυση κλήσεων
επιθυμώ νέο tablet,,επιθυμώ νέος tablet
επιθυμώ να ενημερωθώ για το ποσό που χρωστάω,,επιθυμώ ενημερωθώ ποσό χρωστάω
θέλω να βάλω λεπτά ομιλίας,,βάλω λεπτό ομιλία
θέλω να μου βάλετε λεπτά ομιλίας,,βάλετε λεπτό ομιλία
θέλω να δω αναλυτικά την κίνησή μου,,αναλυτικά κίνηση
πώς μπορώ να ενεργοποιήσω πρόγραμμα με mb,,πώς μπορώ ενεργοποιήσω πρόγραμμα mb
αγορά προγράμματος χρόνου ομιλίας,,αγορά πρόγραμμα χρόνος ομιλία
θέλω να καταθέσω αίτηση,,καταθέσω αίτηση
πείτε μου σχετικά με τις βιντεοκλήσεις,,σχετικά βιντεοκλήσεις
υπηρεσία απόκρυψης κλήσεων,,υπηρεσία απόκρυψη κλήσεων
θέλω να κάνω εξόφληση παραστατικού,,εξόφληση παραστατικός
να κάνω εξόφληση λογαριασμού για το κινητό μου,,εξόφληση λογαριασμός κινητό
θέλω να προγραμματίσω εκ νέου ένα ραντεβού,,προγραμματίζω εκ νέος ένας ραντεβού
λογαριασμός κινητής τηλεφωνίας,,λογαριασμός κινητός τηλεφωνία
πείτε μου για τον αναλυτικό λογαριασμό,,αναλυτικός λογαριασμός
θα ήθελα να μάθω την αναλυτική κίνηση του τηλεφώνου μου,,μάθω αναλυτικός κίνηση τηλεφώνου
θέλω να αποπληρώσω το κινητό μου,,αποπληρώσως κινητό
να επικοινωνήσω με το τμήμα πωλήσεων,,επικοινωνώ τμήμα πωλήσεων
θέλω μια πλήρη ανάλυση για κλήσεις,,ένας πλήρης ανάλυση κλήσεις
υπάρχει κάποιος πωλητής να συνομιλήσω,,υπάρχω κάποιος πωλητής συνομιλώ
θα ήθελα να λάβω πληροφορίες σχετικά με την ανάλυση κλήσεων στο κινητό μου,,λαμβάνω πληροφορία σχετικά ανάλυση κλήσεων σε ο κινητό
θέλω να κάνω πληρωμή της οφειλής,,πληρωμή οφειλή
θέλω να διατυπώσω ένα παράπονο,,διατυπώσω ένας παράπονο
θέλω να κάνω εξόφληση της οφειλής του τηλεφώνου μου,,εξόφληση οφειλή τηλεφώνου
πώς να κάνω το κινητό μου να λειτουργεί ως hotspot,,πώς κινητό λειτουργώ ως hotspot
καταχωρήστε μου ένα αίτημα,,καταχωρήστε ένας αίτημα
θέλω βιντεοκλήση στο κινητό,,βιντεοκλήση σε ο κινητό
έχω κλείσει τον λογαριασμό του σταθερού τηλεφώνου αλλά έχω απλήρωτο το τελευταίο δίμηνο,,κλείνω λογαριασμός σταθερού τηλεφώνου αλλά απλήρωτος τελευταίος δίμηνος
τι χρωστάω για το κινητό μου,,χρωστάω κινητό
πώς μπορώ να βλέπω αναλυτικό λογαριασμό,,πώς μπορώ βλέπω αναλυτικός λογαριασμός
θα ήθελα να κάνω διακανονισμό σε όλο το ποσό,,διακανονισμός όλος ποσό
έχω ανάγκη από ενημέρωση,,ανάγκη από ενημέρωση
χρειάζομαι πληροφορίες,,χρειάζω πληροφορία
υπηρεσίες,,υπηρεσία
να δηλώσω απόρρητο το σταθερό μου,,δηλώνω απόρρητο σταθερός
είχα μία κλήση στο κινητό μου από εσάς και σας κάλεσα,,ένας κλήση σε ο κινητό από κάλεσα
δε βρίσκω τι χρωστάω,,βρίσκω χρωστάω
τι πρέπει να γνωρίζω για την απόκρυψη κλήσεων,,πρέπει γνωρίζω απόκρυψη κλήσεων
θέλω να μου ενεργοποιήσετε,,ενεργοποιήσω
να ενημερωθώ για τα υπόλοιπά μου,,ενημερωθώ υπόλοιπά
ποιο είναι το ποσό που οφείλω,,ποιος ποσό οφείλω
να ενεργοποιηθεί,,ενεργοποιηθεί
το hotspot δε δουλεύει σωστά,,hotspot δουλεύω σωστά
να εξοφλήσω τον λογαριασμό μου,,εξοφλώ λογαριασμός
θα ήθελα να διακανονίσω την οφειλή μου,,διακανονίζω οφειλή
επιθυμώ ενεργοποίηση,,επιθυμώ ενεργοποίηση
ενεργοποίηση tethering,,ενεργοποίηση tethering
να αποπληρώσω το σταθερό μου,,αποπληρώσως σταθερός
θέλω να αγοράσω λεπτά ομιλίας προς κινητά,,αγοράζω λεπτό ομιλία προς κινητάς
μπορώ να προχωρήσω σε διακανονισμό του τηλεφώνου μου,,μπορώ προχωρώ διακανονισμός τηλεφώνου
γιατί δε δουλεύει το tethering,,γιατί δουλεύω tethering
να ενημερωθώ σχετικά με το υπόλοιπό μου,,ενημερωθώ σχετικά υπόλοιπος
με ποιον τρόπο μπορώ να πραγματοποιήσω αίτηση,,τρόπος μπορώ πραγματοποιήσω αίτηση
να κάνω εξόφληση της οφειλής,,εξόφληση οφειλή
να μάθω για ενεργοποίηση,,μάθω ενεργοποίηση
πώς μπορώ να ενημερωθώ για τις οφειλές μου,,πώς μπορώ ενημερωθώ οφειλή
θέλω να προχωρήσω σε διακανονισμό,,προχωρώ διακανονισμός
διακανονισμός παλιάς οφειλής,,διακανονισμός παλιάς οφειλή
χρειάζομαι βοήθεια,,χρειάζομαι βοήθεια
θα μπορούσα να έχω πρόσβαση στην ανάλυση λογαριασμού κινητού,,μπορούσας πρόσβαση σε ο ανάλυση λογαριασμός κινητός
θέλω υπηρεσίες για τη γραμμή μου,,υπηρεσία γραμμή
κάτι έκανα στο tethering και τώρα δε δουλεύει,,κάτι έκανο σε ο tethering τώρα δουλεύω
επιθυμώ να προσθέσω λεπτά ομιλίας,,επιθυμώ προσθέσω λεπτός ομιλία
